year,estimate,code
1996,-0.65,ST
1996,0.87,TW
1996,-1.52,TJ
1996,-0.44,TZ
1996,0.06,TH
1996,..,TL
1996,-0.39,TG
1996,..,TO
1996,0.60,TT
1996,0.14,TN
1996,-1.38,TM
1996,..,TV
1996,0.10,TR
1996,-0.03,UG
1996,-0.42,UA
1996,0.69,AE
1996,2.02,GB
1996,1.59,US
1996,0.84,UY
1996,-1.78,UZ
1996,..,VU
1996,-0.31,VE
1996,-0.60,VN
1996,..,VI
1996,-0.89,PS
1996,-0.44,YE
1996,-0.48,ZM
1996,-0.77,ZW
1996,-1.91,AF
1996,-0.65,AL
1996,-1.17,DZ
1996,..,AS
1996,1.56,AD
1996,-1.58,AO
1996,..,AI
1996,0.33,AG
1996,0.39,AR
1996,-0.57,AM
1996,..,AW
1996,1.44,AU
1996,1.45,AT
1996,-1.12,AZ
1996,1.10,BS
1996,-0.72,BH
1996,-0.06,BD
1996,1.34,BB
1996,-0.82,BY
1996,1.43,BE
1996,0.82,BZ
1996,0.26,BJ
1996,1.18,BM
1996,-0.95,BT
1996,0.16,BO
1996,-0.10,BA
1996,0.86,BW
1996,0.24,BR
1996,-0.65,BN
1996,0.43,BG
1996,-0.53,BF
1996,-1.55,BI
1996,-0.75,KH
1996,-0.94,CM
1996,1.57,CA
1996,0.94,CV
1996,1.62,KY
1996,-0.83,CF
1996,-0.99,TD
1996,0.72,CL
1996,-1.36,CN
1996,-0.51,CO
1996,-1.60,CD
1996,-0.83,CG
1996,..,CK
1996,1.08,CR
1996,-0.16,HR
1996,-1.43,CU
1996,1.04,CY
1996,1.03,CZ
1996,-0.58,CI
1996,1.54,DK
1996,-0.88,DJ
1996,1.04,DM
1996,0.06,DO
1996,0.01,EC
1996,-0.84,EG
1996,-0.10,SV
1996,-1.52,GQ
1996,-1.36,ER
1996,0.93,EE
1996,-1.33,SZ
1996,-1.08,ET
1996,0.15,FJ
1996,1.52,FI
1996,1.31,FR
1996,0.52,GF
1996,-0.32,GA
1996,-1.27,GM
1996,-0.33,GE
1996,1.33,DE
1996,-0.21,GH
1996,1.00,GR
1996,..,GL
1996,0.61,GD
1996,..,GU
1996,-0.24,GT
1996,-1.23,GN
1996,-0.97,GW
1996,0.25,GY
1996,-0.69,HT
1996,-0.22,HN
1996,0.33,HK
1996,1.02,HU
1996,1.46,IS
1996,0.48,IN
1996,-0.92,ID
1996,-0.95,IR
1996,-1.96,IQ
1996,1.38,IE
1996,0.70,IL
1996,1.13,IT
1996,0.59,JM
1996,1.07,JP
1996,-0.24,JO
1996,-0.96,KZ
1996,-0.65,KE
1996,1.15,KI
1996,-1.92,KP
1996,0.67,KR
1996,-1.70,XK
1996,-0.24,KW
1996,-0.79,KG
1996,-1.13,LA
1996,0.72,LV
1996,-0.33,LB
1996,-0.48,LS
1996,-1.43,LR
1996,-1.50,LY
1996,1.56,LI
1996,0.98,LT
1996,1.55,LU
1996,0.30,MO
1996,-0.12,MG
1996,-0.09,MW
1996,-0.18,MY
1996,-0.66,MV
1996,0.01,ML
1996,1.17,MT
1996,1.23,MH
1996,-0.57,MR
1996,0.85,MU
1996,-0.04,MX
1996,1.11,FM
1996,0.02,MD
1996,1.10,MC
1996,0.42,MN
1996,..,ME
1996,-0.42,MA
1996,-0.28,MZ
1996,-1.89,MM
1996,0.50,NA
1996,0.99,NR
1996,-0.06,NP
1996,1.56,NL
1996,1.63,NZ
1996,0.05,NI
1996,-1.51,NE
1996,-1.55,NG
1996,..,NU
1996,-0.39,MK
1996,1.56,NO
1996,-0.71,OM
1996,-0.60,PK
1996,1.10,PW
1996,0.13,PA
1996,0.08,PG
1996,-0.12,PY
1996,-0.53,PE
1996,0.26,PH
1996,1.04,PL
1996,1.50,PT
1996,1.10,PR
1996,-0.71,QA
1996,0.29,RO
1996,-0.22,RU
1996,-1.58,RW
1996,..,RE
1996,0.74,WS
1996,1.29,SM
1996,-1.50,SA
1996,0.11,SN
1996,-1.22,RS
1996,0.12,SC
1996,-0.59,SL
1996,0.14,SG
1996,0.64,SK
1996,1.28,SI
1996,0.81,SB
1996,-1.89,SO
1996,0.84,ZA
1996,..,SS
1996,1.32,ES
1996,-0.27,LK
1996,1.03,KN
1996,1.06,LC
1996,1.04,VC
1996,-1.86,SD
1996,-0.09,SR
1996,1.52,SE
1996,1.42,CH
1996,-1.40,SY
1996,0.33,ST
1996,0.67,TW
1996,-1.65,TJ
1996,-0.64,TZ
1996,0.31,TH
1996,-1.72,TL
1996,-0.99,TG
1996,0.23,TO
1996,0.69,TT
1996,-0.60,TN
1996,-1.58,TM
1996,1.29,TV
1996,-0.13,TR
1996,-0.89,UG
1996,-0.32,UA
1996,-0.41,AE
1996,1.27,GB
1996,1.35,US
1996,0.83,UY
1996,-1.60,UZ
1996,0.63,VU
1996,-0.09,VE
1996,-1.09,VN
1996,..,VI
1996,-0.76,PS
1996,-0.68,YE
1996,-0.33,ZM
1996,-0.61,ZW
1998,-1.18,AF
1998,-0.99,AL
1998,-0.92,DZ
1998,..,AS
1998,1.33,AD
1998,-1.18,AO
1998,..,AI
1998,0.88,AG
1998,-0.20,AR
1998,-0.94,AM
1998,..,AW
1998,1.80,AU
1998,1.80,AT
1998,-1.29,AZ
1998,1.30,BS
1998,0.25,BH
1998,-0.77,BD
1998,1.54,BB
1998,-0.32,BY
1998,1.31,BE
1998,-0.02,BZ
1998,-0.65,BJ
1998,1.33,BM
1998,0.88,BT
1998,-0.44,BO
1998,-0.40,BA
1998,0.82,BW
1998,0.04,BR
1998,0.35,BN
1998,-0.18,BG
1998,0.10,BF
1998,-0.68,BI
1998,-0.99,KH
1998,-1.31,CM
1998,2.03,CA
1998,1.16,CV
1998,1.33,KY
1998,-1.12,CF
1998,-1.34,TD
1998,1.30,CL
1998,-0.35,CN
1998,-0.52,CO
1998,-1.42,CD
1998,-1.20,CG
1998,..,CK
1998,0.76,CR
1998,-0.59,HR
1998,0.34,CU
1998,1.06,CY
1998,0.52,CZ
1998,-0.50,CI
1998,2.20,DK
1998,-0.68,DJ
1998,0.88,DM
1998,-0.76,DO
1998,-0.79,EC
1998,-0.48,EG
1998,-0.89,SV
1998,-1.19,GQ
1998,0.52,ER
1998,0.66,EE
1998,0.05,SZ
1998,-0.90,ET
1998,0.66,FJ
1998,2.20,FI
1998,1.35,FR
1998,0.88,GF
1998,-1.00,GA
1998,-0.36,GM
1998,-0.98,GE
1998,2.00,DE
1998,-0.33,GH
1998,0.76,GR
1998,..,GL
1998,0.88,GD
1998,..,GU
1998,-0.87,GT
1998,-1.08,GN
1998,-1.12,GW
1998,-0.35,GY
1998,-1.17,HT
1998,-1.02,HN
1998,1.30,HK
1998,0.73,HU
1998,1.91,IS
1998,-0.26,IN
