id,code,related_country_code,visa_requirements
651,VA,VC,visa_free_access
652,VA,SZ,visa_free_access
653,VA,SE,visa_free_access
654,VA,CH,visa_free_access
655,VA,TW,visa_free_access
656,VA,TN,visa_free_access
657,VA,TR,visa_free_access
658,VA,TC,visa_free_access
659,VA,UA,visa_free_access
660,VA,UY,visa_free_access
661,VA,UZ,visa_free_access
662,VA,VU,visa_free_access
663,VA,VG,visa_free_access
664,VA,SR,visa_free_access
665,VA,MG,visa_free_access
666,VA,AO,visa_free_access
667,VA,TJ,visa_free_access
668,VA,ZM,visa_free_access
669,VA,AU,electronic_travel_authorisation
670,VA,CA,electronic_travel_authorisation
671,VA,NZ,electronic_travel_authorisation
672,VA,LK,electronic_travel_authorisation
673,VA,KR,electronic_travel_authorisation
674,VA,KE,electronic_travel_authorisation
675,VA,SC,electronic_travel_authorisation
676,VA,GB,electronic_travel_authorisation
677,VA,KN,electronic_travel_authorisation
678,SM,AF,visa_required
679,SM,DZ,visa_required
680,SM,AO,visa_required
681,SM,BT,visa_required
682,SM,BN,visa_required
683,SM,CF,visa_required
684,SM,TD,visa_required
685,SM,CG,visa_required
686,SM,CI,visa_required
687,SM,ER,visa_required
688,SM,FJ,visa_required
689,SM,GH,visa_required
690,SM,GY,visa_required
691,SM,IQ,visa_required
692,SM,KI,visa_required
693,SM,LY,visa_required
694,SM,ML,visa_required
695,SM,MH,visa_required
696,SM,MN,visa_required
697,SM,MM,visa_required
698,SM,NA,visa_required
699,SM,NR,visa_required
700,SM,NE,visa_required
701,SM,KP,visa_required
702,SM,PY,visa_required
703,SM,SL,visa_required
704,SM,SS,visa_required
705,SM,SD,visa_required
706,SM,TO,visa_required
707,SM,TT,visa_required
708,SM,TM,visa_required
709,SM,TC,visa_required
710,SM,YE,visa_required
711,SM,AZ,visa_online
712,SM,BJ,visa_online
713,SM,ET,visa_online
714,SM,GA,visa_online
715,SM,IN,visa_online
716,SM,PK,visa_online
717,SM,RU,visa_online
718,SM,VN,visa_online
719,SM,UG,visa_online
720,SM,PG,visa_online
721,SM,GN,visa_online
722,SM,KZ,visa_online
723,SM,CM,visa_online
724,SM,GQ,visa_online
725,SM,TG,visa_online
726,SM,SY,visa_online
727,SM,ID,visa_online
728,SM,BF,visa_online
729,SM,MR,visa_online
730,SM,CD,visa_online
731,SM,NG,visa_online
732,SM,LR,visa_online
733,SM,CU,visa_online
734,SM,BH,visa_on_arrival
735,SM,BD,visa_on_arrival
736,SM,BO,visa_on_arrival
737,SM,BI,visa_on_arrival
738,SM,KH,visa_on_arrival
739,SM,CV,visa_on_arrival
740,SM,KM,visa_on_arrival
741,SM,EG,visa_on_arrival
742,SM,GW,visa_on_arrival
743,SM,IR,visa_on_arrival
744,SM,JO,visa_on_arrival
745,SM,KW,visa_on_arrival
746,SM,KG,visa_on_arrival
747,SM,LA,visa_on_arrival
748,SM,LB,visa_on_arrival
749,SM,MW,visa_on_arrival
750,SM,MV,visa_on_arrival
751,SM,MZ,visa_on_arrival
752,SM,NP,visa_on_arrival
753,SM,PW,visa_on_arrival
754,SM,RW,visa_on_arrival
755,SM,WS,visa_on_arrival
756,SM,SA,visa_on_arrival
757,SM,SB,visa_on_arrival
758,SM,SO,visa_on_arrival
759,SM,SH,visa_on_arrival
760,SM,TZ,visa_on_arrival
761,SM,TL,visa_on_arrival
762,SM,TV,visa_on_arrival
763,SM,AE,visa_on_arrival
764,SM,ZW,visa_on_arrival
765,SM,DJ,visa_on_arrival
766,SM,QA,visa_on_arrival
